"","V1"
"init","13.36741 secs"
"load","0.01423192 secs"
"unnamed.chunk.1","0.006283998 secs"
"unnamed.chunk.2","0.023839 secs"
"mito","0.0061059 secs"
"qc","0.006934881 secs"
"qc2","0.07825994 secs"
"normalize","0.005588055 secs"
"normalize.default","0.001767159 secs"
"var_features","0.01691103 secs"
"regress","0.00932312 secs"
"regressvarmt","0.001610994 secs"
"pca","0.007339001 secs"
"pca_viz","0.01040506 secs"
"single.heatmap","0.009078979 secs"
"multi.heatmap","0.007468939 secs"
"elbow_plot","0.005343199 secs"
"cluster","0.01058316 secs"
"tsne","0.007166147 secs"
"tsneplot","0.006850004 secs"
"umap","0.006856203 secs"
"umapplot","0.005800962 secs"
"saveobject","0.001586199 secs"
"pca.cluster","0.2119579 secs"
"tsne.cluster","0.03606701 secs"
"umap.cluster","0.02630091 secs"
"tsne3d.cluster","0.0234189 secs"
"tsne3d.genexpr","0.01568413 secs"
"umap3d.cluster","0.01904106 secs"
"umap3d.genexpr","0.07757521 secs"
"save.rds","0.001608133 secs"
